0.065,0.101,0.055,0.088
0.063,0.08,0.035,0.07
0.046,0.079,0.029,0.062
0.034,0.072,0.027,0.061
0.04,0.07,0.035,0.062
0.036,0.064,0.034,0.06
0.038,0.064,0.027,0.06
0.041,0.071,0.035,0.063
0.045,0.085,0.033,0.061
0.039,0.075,0.033,0.061
0.043,0.091,0.034,0.061
0.034,0.084,0.033,0.06
0.03,0.076,0.035,0.062
0.035,0.096,0.051,0.074
0.026,0.057,0.051,0.125
0.039,0.054,0.046,0.077
0.025,0.058,0.057,0.112
0.024,0.054,0.037,0.075
0.03,0.049,0.037,0.067
0.03,0.053,0.039,0.072
0.024,0.054,0.042,0.073
0.026,0.056,0.103,0.072
0.056,0.093,0.056,0.095
0.038,0.074,0.078,0.136
0.04,0.066,0.052,0.125
0.056,0.093,0.035,0.062
0.042,0.075,0.035,0.061
0.047,0.091,0.026,0.064
0.073,0.13,0.035,0.064
0.05,0.112,0.034,0.101
0.036,0.066,0.027,0.069
0.027,0.066,0.035,0.068
0.025,0.063,0.027,0.064
0.033,0.061,0.027,0.07
0.033,0.06,0.035,0.063
0.033,0.054,0.057,0.086
0.026,0.062,0.041,0.063
0.037,0.069,0.029,0.068
0.045,0.069,0.045,0.095
0.057,0.058,0.06,0.122
0.025,0.094,0.036,0.07
0.032,0.066,0.039,0.093
0.036,0.073,0.038,0.094
0.024,0.06,0.05,0.101
0.03,0.055,0.062,0.105
0.037,0.067,0.039,0.095
0.032,0.062,0.038,0.101
0.049,0.071,0.036,0.065
0.032,0.057,0.045,0.091
0.024,0.054,0.059,0.121
