0.069,7.221,0.073,7.519
0.143,7.546,0.066,6.17
0.097,7.623,0.055,6.281
0.124,7.475,0.107,7.559
0.072,7.268,0.068,7.164
0.068,7.978,0.072,6.133
0.113,12.945,0.101,6.604
0.065,6.818,0.051,6.122
0.046,6.371,0.046,6.782
0.043,6.328,0.048,6.263
0.044,6.414,0.035,6.486
0.074,8.316,0.037,6.531
0.081,6.918,0.037,6.479
0.062,7.582,0.047,6.468
0.081,6.874,0.036,6.444
0.046,6.597,0.034,6.547
0.037,6.201,0.049,6.548
0.046,6.235,0.043,6.966
0.083,4.914,0.071,6.882
0.029,4.792,0.084,6.668
0.028,4.691,0.083,6.987
0.027,4.609,0.098,6.878
0.034,4.585,0.08,6.891
0.035,4.651,0.079,6.878
0.026,4.521,0.072,7.138
0.035,4.61,0.091,7.488
0.035,4.653,0.069,7.252
0.045,5.002,0.072,6.607
0.029,4.568,0.073,6.82
0.052,5.783,0.118,7.071
0.039,5.283,0.077,6.984
0.048,5.904,0.075,6.715
0.041,5.931,0.083,6.897
0.042,5.742,0.072,6.754
0.041,5.786,0.083,6.696
0.033,5.8,0.078,7.281
0.032,5.694,0.088,7.291
0.032,5.688,0.079,6.918
0.033,5.684,0.073,7.103
0.032,5.814,0.052,6.744
0.033,5.75,0.059,7.139
0.041,5.85,0.077,6.847
0.032,5.674,0.05,6.612
0.032,5.828,0.038,6.654
0.033,5.74,0.05,6.765
0.041,5.674,0.045,6.543
0.04,5.661,0.034,6.661
0.041,5.907,0.035,6.597
0.041,5.728,0.045,6.641
0.04,5.745,0.037,6.509
