0.084,0.896,0.092,0.014
0.04,0.778,0.053,0.019
0.026,0.356,0.06,0.01
0.036,0.377,0.061,0.01
0.024,0.33,0.061,0.01
0.036,0.338,0.059,0.01
0.052,0.452,0.064,0.012
0.026,0.548,0.068,0.011
0.116,1.23,0.117,0.014
0.054,0.471,0.08,0.012
0.03,0.324,0.061,0.01
0.028,0.293,0.081,0.027
0.018,0.277,0.061,0.011
0.019,0.294,0.09,0.029
0.018,0.271,0.072,0.013
0.029,0.386,0.06,0.01
0.019,0.27,0.059,0.011
0.036,0.465,0.112,0.021
0.02,0.331,0.089,0.022
0.03,0.316,0.065,0.011
0.04,0.524,0.064,0.014
0.027,0.366,0.103,0.013
0.033,0.539,0.107,0.015
0.029,0.341,0.095,0.023
0.027,0.352,0.046,0.01
0.037,0.317,0.051,0.009
0.034,0.384,0.076,0.01
0.052,0.45,0.075,0.016
0.027,0.428,0.071,0.012
0.045,0.711,0.08,0.012
0.038,0.664,0.1,0.013
0.023,0.297,0.069,0.013
0.02,0.298,0.057,0.01
0.03,0.27,0.054,0.011
0.02,0.252,0.046,0.018
0.018,0.283,0.054,0.009
0.021,0.287,0.081,0.014
0.029,0.43,0.082,0.013
0.048,0.429,0.071,0.024
0.154,0.758,0.09,0.029
0.048,0.531,0.09,0.011
0.028,0.382,0.056,0.009
0.034,0.673,0.055,0.009
0.036,0.37,0.058,0.01
0.039,0.416,0.058,0.01
0.041,0.685,0.062,0.01
0.022,0.32,0.062,0.011
0.022,0.341,0.055,0.01
0.022,0.312,0.057,0.009
0.023,0.466,0.054,0.01
